clean_text,conversation_id,id,,,meta.tag,reply_to,speaker,text,timestamp,vectors
"Uhhuh,  huh.  Do you think they should be punished at all, or,  uh,    like  go to prison,  uh,   because  theyre not really a danger to society. It was almost really self defense, isnt it, in a case like that. ",4341-0,4341-40,,,"[['Uh-huh,  /', 'b'], ['{F huh. } Do you think they should be punished at all, or, {F uh, } <throat_clearing> {D like } go to prison, {F uh, }  /', 'qr'], [""{C because } they're not really a danger to society.  /"", 'sv'], [""It was almost really self defense, isn't it, in a case like that. /"", 'qy^d']]",4341-39,1614,"Uh-huh,  /{F huh. } Do you think they should be punished at all, or, {F uh, } <throat_clearing> {D like } go to prison, {F uh, }  /{C because } they're not really a danger to society.  /It was almost really self defense, isn't it, in a case like that. /",,[]
" Oh,   you dont?  ",4611-0,4611-40,,,"[[""{F Oh, } # you don't? # /"", 'qy^d']]",4611-39,1573,"{F Oh, } # you don't? # /",,[]
"  Oh,  they do with alcohol.  ",4048-0,4048-7,,,"[['# {F Oh, } they do with alcohol. # /', 'qy^d']]",4048-6,1471,"# {F Oh, } they do with alcohol. # /",,[]
"Okay,  and  you work in the office around. ",4048-0,4048-19,,,"[['Okay,  /', 'bk'], ['{C and } you work in the office around. /', 'qy^d']]",4048-18,1471,"Okay,  /{C and } you work in the office around. /",,[]
"Yeah,  actually,   I,  I  agree that  thats an interesting thing.  I,  I  believe  thats a,    for,  for  civil suits its not unanimous,  right,   but   for,  for  criminal suits its unanimous by federal law? ",4148-0,4148-2,,,"[['Yeah,  /', 'aa'], [""{D actually, } [ I, + I ] agree that <laughter> that's an interesting thing.  /"", 'sd'], [""[ I, + I ] believe [ that's a, + ] [ for, + for ] civil suits it's not unanimous, {D right, }  /"", 'qy^g'], [""{C but } [ for, + for ] criminal suits it's unanimous by federal law? /"", 'qy^d']]",4148-1,1573,"Yeah,  /{D actually, } [ I, + I ] agree that <laughter> that's an interesting thing.  /[ I, + I ] believe [ that's a, + ] [ for, + for ] civil suits it's not unanimous, {D right, }  /{C but } [ for, + for ] criminal suits it's unanimous by federal law? /",,[]
 So  she didnt feel safe. ,4316-0,4316-45,,,"[[""{C So } she didn't feel safe. /"", 'qy^d']]",4316-44,1592,{C So } she didn't feel safe. /,,[]
"Yeah, Jonathan,  uh,   you s,  you say  its near and dear to your heart. Buying a car is,  uh,  something youre contemplating, I take it. ",4339-0,4339-0,,,"[['Yeah,  /', 'o'], [""Jonathan, {F uh, } [ you s-, + you say ] it's near and dear to your heart.  /"", 'sd'], [""Buying a car is, {F uh, } something you're contemplating, I take it. /"", 'qy^d']]",,1558,"Yeah,  /Jonathan, {F uh, } [ you s-, + you say ] it's near and dear to your heart.  /Buying a car is, {F uh, } something you're contemplating, I take it. /",,[]
Such as New York City ? ,4340-0,4340-2,,,"[['Such as New York City <laughter>? /', 'qy^d']]",4340-1,1604,Such as New York City <laughter>? /,,[]
"Yeah,  so  thats sort of related to her field  a little bit.  ",4353-0,4353-32,,,"[['Yeah,  /', 'b'], [""{C so } that's sort of related to her field # a little bit. # /"", 'qy^d']]",4353-31,1638,"Yeah,  /{C so } that's sort of related to her field # a little bit. # /",,[]
  So   youre remodeling? ,4378-0,4378-7,,,"[[""# {D So } # you're remodeling? /"", 'qy^d']]",4378-6,1580,# {D So } # you're remodeling? /,,[]
Where you live it gets very hot? ,4378-0,4378-61,,,"[['Where you live it gets very hot? /', 'qy^d']]",4378-60,1580,Where you live it gets very hot? /,,[]
" Oh,  these   so  you have the sash windows in? ",4378-0,4378-75,,,"[['{F Oh, } these - /', 'bf'], ['{C so } you have the sash windows in? /', 'qy^d']]",4378-74,1580,"{F Oh, } these - /{C so } you have the sash windows in? /",,[]
The executives? ,2184-0,2184-70,,,"[['The executives? /', 'qy^d']]",2184-69,1091,The executives? /,,[]
 But  they werent? ,2184-0,2184-124,,,"[[""{C But } they weren't? /"", 'qy^d']]",2184-123,1091,{C But } they weren't? /,,[]
"you have  like  bands, I dont know,",2789-0,2789-103,,,"[['you have {D like } bands,  /', 'sd'], [""I don't know,"", 'qy^d']]",2789-102,1090,"you have {D like } bands,  /I don't know,",,[]
" Oh,  okay, laughter,  not in the,  not in the, ",2789-0,2789-120,,,"[['{F Oh, } okay,  /', 'bk'], ['<laughter>, [ not in the, + not in the, ]', 'qy^d']]",2789-119,1045,"{F Oh, } okay,  /<laughter>, [ not in the, + not in the, ]",,[]
" And then,    uh,   uh,  dessert. Something sweet? ",3506-0,3506-30,,,"[['{C And then, } ] {F uh, } {F uh, } dessert.  /', '+'], ['Something sweet? /', 'qy^d']]",3506-29,1454,"{C And then, } ] {F uh, } {F uh, } dessert.  /Something sweet? /",,[]
You must like chocolate. ,3506-0,3506-32,,,"[['You must like chocolate. /', 'qy^d']]",3506-31,1454,You must like chocolate. /,,[]
" Oh,  you do? ",3506-0,3506-35,,,"[['{F Oh, } you do? /', 'qy^d']]",3506-34,1405,"{F Oh, } you do? /",,[]
"I just really started,   uh,   uh,  learning about that  and  I bought a Martha Stewart, I dont know if youve heard of her. ",3506-0,3506-53,,,"[['I just really started, ] {F uh, } {F uh, } learning about that  /', '+'], ['{C and } I bought a Martha Stewart,  /', 'sd'], [""I don't know if you've heard of her.  /"", 'qy^d']]",3506-52,1405,"I just really started, ] {F uh, } {F uh, } learning about that  /{C and } I bought a Martha Stewart,  /I don't know if you've heard of her.  /",,[]
" Um,   and  hes not interested in letting his twentyone year old daughter experiment with it probably. ",3506-0,3506-68,,,"[[""{F Um, } {C and } he's not interested in letting his twenty-one year old daughter experiment with it probably. /"", 'qy^d']]",3506-67,1454,"{F Um, } {C and } he's not interested in letting his twenty-one year old daughter experiment with it probably. /",,[]
" Uh,  it was too circumstantial? ",4038-0,4038-65,,,"[['{F Uh, } it was too circumstantial? /', 'qy^d']]",4038-64,1539,"{F Uh, } it was too circumstantial? /",,[]
Just to pack the bearings? ,4349-0,4349-1,,,"[['Just to pack the bearings? /', 'qy^d']]",4349-0,1561,Just to pack the bearings? /,,[]
 Right.   And  they repacked the wheel bearings. ,4349-0,4349-5,,,"[['# Right. #  /', 'b'], ['{C And } they repacked the wheel bearings. /', 'qy^d']]",4349-4,1561,# Right. #  /{C And } they repacked the wheel bearings. /,,[]
Youre talking about the vibration dampener? ,4349-0,4349-26,,,"[[""You're talking about the vibration dampener? /"", 'qy^d']]",4349-25,1611,You're talking about the vibration dampener? /,,[]
"Your family doesnt live close, then? ",3075-0,3075-12,,,"[[""Your family doesn't live close, then? /"", 'qy^d']]",3075-11,1266,"Your family doesn't live close, then? /",,[]
" Well,   I dont,  I dont  know if you got to see WEEKEND,  um,  AT BERNIES ",3144-0,3144-49,,,"[[""{D Well, } [ I don't, + I don't ] know if you got to see WEEKEND, {F um, } AT BERNIE'S --"", 'qy^d']]",3144-48,1313,"{D Well, } [ I don't, + I don't ] know if you got to see WEEKEND, {F um, } AT BERNIE'S --",,[]
Yeah. Weve got tons up here  but  I dont know. How do you feel about your game? I guess thats a good question? ,3435-0,3435-10,,,"[['Yeah.  /', 'b'], [""We've got tons up here  /"", 'sd'], [""{C but } I don't know.  /"", 'h'], ['How do you feel about your game?  /', 'qw'], [""I guess that's a good question? /"", 'qy^d']]",3435-9,1421,Yeah.  /We've got tons up here  /{C but } I don't know.  /How do you feel about your game?  /I guess that's a good question? /,,[]
Thats pretty good. For eighteen? ,3435-0,3435-56,,,"[[""That's pretty good.  /"", 'ba'], ['For eighteen? /', 'qy^d']]",3435-55,1421,That's pretty good.  /For eighteen? /,,[]
Through your company? ,3658-0,3658-21,,,"[['Through your company? /', 'qy^d']]",3658-20,1383,Through your company? /,,[]
"It makes it worthwhile to take it back  and  Ive just started drinking a new water called Clearly Canadian, I dont know if youve tried it  ",3876-0,3876-39,,,"[['It makes it worthwhile to take it back  /', 'sv'], [""{C and } I've just started drinking a new water called Clearly Canadian,  /"", 'sd'], [""I don't know if you've tried it -- /"", 'qy^d']]",3876-38,1469,"It makes it worthwhile to take it back  /{C and } I've just started drinking a new water called Clearly Canadian,  /I don't know if you've tried it -- /",,[]
"Yeah,  uh,  I guess I basically agree that,  uh,   do you think its okay for a company to reject somebody knowing that theyll take drugs?  I mean  suppose  they found out some other way?  ",4049-0,4049-3,,,"[['Yeah,  /', 'aa'], ['{F uh, } I guess I basically agree that, {F uh, } - /', 'sv'], [""do you think it's okay for a company to reject somebody knowing that they'll take drugs?  /"", 'qy'], ['{E I mean } suppose # they found out some other way? # /', 'qy^d']]",4049-2,1530,"Yeah,  /{F uh, } I guess I basically agree that, {F uh, } - /do you think it's okay for a company to reject somebody knowing that they'll take drugs?  /{E I mean } suppose # they found out some other way? # /",,[]
You do too? ,4127-0,4127-83,,,"[['You do too? /', 'qy^d']]",4127-82,1573,You do too? /,,[]
"   And    you know   so     they,    you know,  they used,    uh,   oh,  I think they used  the,  you probably heard  where,   you know,  where  you stand in front of the clock and get your power back to control yourself. ",4153-0,4153-69,,,"[['# [ {C And } + {D you know } {C so } ] [ [ they, + # {D you know, } they used, ] + {F uh, } {F oh, } I think they used ] the, - /', 'sd'], ['you probably heard [ where, + {D you know, } where ] you stand in front of the clock and get your power back to control yourself. /', 'qy^d']]",4153-68,1602,"# [ {C And } + {D you know } {C so } ] [ [ they, + # {D you know, } they used, ] + {F uh, } {F oh, } I think they used ] the, - /you probably heard [ where, + {D you know, } where ] you stand in front of the clock and get your power back to control yourself. /",,[]
"Which is probably pretty nice,  but  Ill bet that means your state sales tax is pretty high. ",4181-0,4181-11,,,"[['Which is probably pretty nice,  /', 'sv'], [""{C but } I'll bet that means your state sales tax is pretty high. /"", 'qy^d']]",4181-10,1577,"Which is probably pretty nice,  /{C but } I'll bet that means your state sales tax is pretty high. /",,[]
" Oh,  like a Miata or something like that? ",4318-0,4318-28,,,"[['{F Oh, } like a Miata or something like that? /', 'qy^d']]",4318-27,1530,"{F Oh, } like a Miata or something like that? /",,[]
"Yeah.  It was  a,  a,   its a  more or less a suburban school system? ",4380-0,4380-14,,,"[['Yeah.  /', 'b^r'], [""[ ((It was [ a, + a, ] + it's a)) ] more or less a suburban school system? /"", 'qy^d']]",4380-13,1537,"Yeah.  /[ ((It was [ a, + a, ] + it's a)) ] more or less a suburban school system? /",,[]
" We just have the case,  Im,  Im  sure youve probably heard of Marion Berry. ",4830-0,4830-51,,,"[['<Inhaling> We just have the case,  /', 'sd'], [""[ I'm, + I'm ] sure you've probably heard of Marion Berry. /"", 'qy^d']]",4830-50,1042,"<Inhaling> We just have the case,  /[ I'm, + I'm ] sure you've probably heard of Marion Berry. /",,[]
"  It,   with the childrens aspect? ",2395-0,2395-71,,,"[[""-- [ It-, + ] with the children's aspect? /"", 'qy^d']]",2395-70,1055,"-- [ It-, + ] with the children's aspect? /",,[]
" Um,  Ive got one question for you.  I   you  say you take the newspaper. ",2395-0,2395-97,,,"[[""{F Um, } I've got one question for you.  /"", 'sd'], ['[ I + <<pause>> you ] say you take the newspaper. /', 'qy^d']]",2395-96,1055,"{F Um, } I've got one question for you.  /[ I + <<pause>> you ] say you take the newspaper. /",,[]
"  Well,  thats about five minutes,  so  ",2546-0,2546-54,,,"[[""<Breathing> {D Well, } that's about five minutes,  /"", 'sd'], ['{C so } --', 'qy^d']]",2546-53,1025,"<Breathing> {D Well, } that's about five minutes,  /{C so } --",,[]
One child.  And  they enjoy where theyre living? ,2775-0,2775-94,,,"[['One child.  /', 'b^m'], [""{C And } they enjoy where they're living? /"", 'qy^d']]",2775-93,1122,One child.  /{C And } they enjoy where they're living? /,,[]
"Yeah. So youre just the opposite from me. You want to go back to that,  uh,  ",2775-0,2775-106,,,"[['Yeah.  /', 'b'], [""So you're just the opposite from me.  /"", 'sv'], ['You want to go back to that, {F uh, } /', 'qy^d']]",2775-105,1122,"Yeah.  /So you're just the opposite from me.  /You want to go back to that, {F uh, } /",,[]
"Its just a half hour,  or  is it hour? ",3073-0,3073-87,,,"[[""It's just a half hour,  /"", 'qy^d'], ['{C or } is it hour? /', 'qrr']]",3073-86,1285,"It's just a half hour,  /{C or } is it hour? /",,[]
Loaners from work? ,3086-0,3086-9,,,"[['Loaners from work? /', 'qy^d']]",3086-8,1235,Loaners from work? /,,[]
At home ,3086-0,3086-39,,,"[['At home --', 'qy^d']]",3086-38,1235,At home --,,[]
" Uh,   and so  its an external modem. ",3086-0,3086-43,,,"[[""{F Uh, } {C and so } it's an external modem. /"", 'qy^d']]",3086-42,1235,"{F Uh, } {C and so } it's an external modem. /",,[]
 So  youve got a lot of traffic noise real close. ,3086-0,3086-63,,,"[[""{D So } you've got a lot of traffic noise real close. /"", 'qy^d']]",3086-62,1235,{D So } you've got a lot of traffic noise real close. /,,[]
Uhhuh.   So  you were able to have somebody come there.  ,3135-0,3135-78,,,"[['Uh-huh.  /', 'b'], ['# {C So } you were able to have somebody come there. # /', 'qy^d']]",3135-77,1327,Uh-huh.  /# {C So } you were able to have somebody come there. # /,,[]
"Thats nice. I guess they dump it the same place, I wonder where they dump that. ",3154-0,3154-68,,,"[[""That's nice.  /"", 'ba'], ['I guess they dump it the same place,  /', 'sd'], ['I wonder where they dump that. /', 'qy^d']]",3154-67,1288,"That's nice.  /I guess they dump it the same place,  /I wonder where they dump that. /",,[]
" Uh,  television shows? ",3315-0,3315-11,,,"[['{F Uh, } television shows? /', 'qy^d']]",3315-10,1307,"{F Uh, } television shows? /",,[]
Oh. In New Hampshire.  All right.  ,3445-0,3445-34,,,"[['Oh.  /', 'b'], ['In New Hampshire.  /', 'qy^d'], ['# All right. # /', 'bk']]",3445-33,1429,Oh.  /In New Hampshire.  /# All right. # /,,[]
"They were paid that whole time  and  I dont know, if youre aware of this r, ",3830-0,3830-97,,,"[['They were paid that whole time  /', 'sd'], [""{C and } I don't know, if you're aware of this r-, -/"", 'qy^d']]",3830-96,1476,"They were paid that whole time  /{C and } I don't know, if you're aware of this r-, -/",,[]
"Okay. Youre asking what my opinion about,",3925-0,3925-1,,,"[['Okay.  /', 'b'], [""You're asking what my opinion about,"", 'qy^d']]",3925-0,1493,"Okay.  /You're asking what my opinion about,",,[]
  So  youre taking a government course? ,3925-0,3925-43,,,"[[""<Laughter>  {D So } you're taking a government course? /"", 'qy^d']]",3925-42,1493,<Laughter>  {D So } you're taking a government course? /,,[]
At what? The university? ,3925-0,3925-45,,,"[['At what?  /', 'qw'], ['The university? /', 'qy^d']]",3925-44,1493,At what?  /The university? /,,[]
" Well,  I guess well get pretty good news coverage in a couple of years when you host the,  uh,  summer olympics . ",4033-0,4033-64,,,"[[""{D Well, } I guess we'll get pretty good news coverage  in a couple of years when you host the, {F uh, } summer olympics <laughter>. /"", 'qy^d']]",4033-63,1537,"{D Well, } I guess we'll get pretty good news coverage  in a couple of years when you host the, {F uh, } summer olympics <laughter>. /",,[]
" So    that,  is that,   is that  kind of your child right now? ",4074-0,4074-33,,,"[['{D So } [ [ that, + is that, ] + is that ] kind of your  child right now? /', 'qy^d']]",4074-32,1516,"{D So } [ [ that, + is that, ] + is that ] kind of your  child right now? /",,[]
" The,  the  deposits only on  like  drink stuff. ",4101-0,4101-3,,,"[['[ The, + the ] deposits only on {D like } drink stuff. /', 'qy^d']]",4101-2,1552,"[ The, + the ] deposits only on {D like } drink stuff. /",,[]
" So,  did they,   youre giving,  are you giving  these products to the handicapped group  and  the handicapped group is getting the  uh,  the money    or    or  are you,    or  are  they  some home   distributing the funds back to you. ",4101-0,4101-11,,,"[['{D So, } did they, - /', 'qy'], [""[ you're giving, + are you giving ] these products to the handicapped group  /"", 'qy'], ['{C and } the handicapped group is getting the {F uh, } the money  /', 'qy^d'], ['[ [ {C or } + {C or } are you, ] + {C or }  are [ they + some home ] ] distributing the funds back to you. /', 'qrr']]",4101-10,1552,"{D So, } did they, - /[ you're giving, + are you giving ] these products to the handicapped group  /{C and } the handicapped group is getting the {F uh, } the money  /[ [ {C or } + {C or } are you, ] + {C or }  are [ they + some home ] ] distributing the funds back to you. /",,[]
"It terms of handling,  uh,  acceleration, ",4137-0,4137-9,,,"[['It terms of handling, {F uh, } acceleration, -/', 'qy^d']]",4137-8,1585,"It terms of handling, {F uh, } acceleration, -/",,[]
"Okay.  And  you  put up,  set up  the ",4137-0,4137-25,,,"[['Okay.  /', 'bk'], ['{C And } you [ put up, + set up ] the --', 'qy^d']]",4137-24,1585,"Okay.  /{C And } you [ put up, + set up ] the --",,[]
Anyway. You dont have children? ,4150-0,4150-9,,,"[['Anyway.  /', 'h'], [""You don't have children? /"", 'qy^d']]",4150-8,1516,Anyway.  /You don't have children? /,,[]
 But  youre married? ,4150-0,4150-11,,,"[[""{C But } you're married? /"", 'qy^d']]",4150-10,1516,{C But } you're married? /,,[]
Youre still trying to dry out? ,4150-0,4150-101,,,"[[""You're still trying to dry out? /"", 'qy^d']]",4150-100,1516,You're still trying to dry out? /,,[]
They treat it with chemicals or something? Why cant trees break down? I dont get it. ,4175-0,4175-93,,,"[['They treat it with chemicals or something?  /', 'qy^d'], [""Why can't trees break down?  /"", 'qw'], [""I don't get it. /"", 'sd']]",4175-92,1580,They treat it with chemicals or something?  /Why can't trees break down?  /I don't get it. /,,[]
"Cliff, I see,  so,   uh,  its not affiliated with anything, is it.  Not  ",4342-0,4342-8,,,"[['Cliff, I see,  /', 'b^m'], [""{D so, } {F uh, } it's not affiliated with anything, is it.  /"", 'qy^g'], ['[ Not -- +', 'qy^d']]",4342-7,1390,"Cliff, I see,  /{D so, } {F uh, } it's not affiliated with anything, is it.  /[ Not -- +",,[]
"Yeah,  so  you have a paper or something or, ",4342-0,4342-16,,,"[['Yeah,  /', 'b'], ['{C so } you have a paper or something or, -/', 'qy^d']]",4342-15,1390,"Yeah,  /{C so } you have a paper or something or, -/",,[]
 So  there really is only one major L A now? ,4342-0,4342-47,,,"[['{C So } there really is only one major L A now? /', 'qy^d']]",4342-46,1524,{C So } there really is only one major L A now? /,,[]
 So  its the government thats mandating it to a certain extent? . ,4880-0,4880-12,,,"[[""{C So } it's the government that's mandating  it to a certain extent?  <noise>. /"", 'qy^d']]",4880-11,1188,{C So } it's the government that's mandating  it to a certain extent?  <noise>. /,,[]
"Okay,  so   that  ",4880-0,4880-36,,,"[['Okay,  /', 'bk'], ['{C so } [ that -- +', 'qy^d']]",4880-35,1188,"Okay,  /{C so } [ that -- +",,[]
"Yeah, twentyone sounds like he is talking to someone other than speaker. Yeah. Shoot man, its, what, midnight almost? ",2061-0,2061-21,,,"[['Yeah,  /', 'aa'], ['twenty-one <<sounds like he is talking  to someone other than speaker>>.  /', 't3'], ['Yeah.  /', '%'], [""Shoot man, it's, what, midnight almost? /"", 'qy^d']]",2061-20,1167,"Yeah,  /twenty-one <<sounds like he is talking  to someone other than speaker>>.  /Yeah.  /Shoot man, it's, what, midnight almost? /",,[]
Like Chapel Hill? ,2061-0,2061-38,,,"[['Like Chapel Hill? /', 'qy^d']]",2061-37,1021,Like Chapel Hill? /,,[]
Like the   deal? ,2061-0,2061-229,,,"[['Like the  ((   ))  deal? /', 'qy^d']]",2061-228,1167,Like the  ((   ))  deal? /,,[]
 Like a hologram?  ,2061-0,2061-231,,,"[['# Like a hologram? # /', 'qy^d']]",2061-230,1167,# Like a hologram? # /,,[]
You said you have four cats? ,2107-0,2107-0,,,"[['You said you have four cats? /', 'qy^d']]",,1135,You said you have four cats? /,,[]
Uhhuh.  So  you figure one of these days youre going to go back to being an engineer? Is that what youre saying? ,2370-0,2370-38,,,"[['Uh-huh.  /', 'b'], [""{C So } you figure one of these days you're going to go back to being an engineer?  /"", 'qy^d'], [""Is that what you're saying? /"", 'qy']]",2370-37,1138,Uh-huh.  /{C So } you figure one of these days you're going to go back to being an engineer?  /Is that what you're saying? /,,[]
