id,timestamp,text,speaker,reply_to,conversation_id,meta.tag,vectors,clean_text
4082-46,,"Yeah.  /[ Did you, + did you ] think that [ C N N, + {D well, } the Gulf War coverage ] would be kind of, {F uh, } an abnormality?  /I just wonde-, I guess.  /<noise> I would be curious to know what you thought as to how {D like } {D say } C N N T V news compared to the three networks.  /{F Uh, } {D you know } whether you thought it was more of a biased or whatever  /{C but } [ I, + I ] guess you wouldn't.  /You probably, - /if you just watched it during the Gulf War, that probably [ wouldn't + wouldn't ] tell you much. /",1547,4082-45,4082-0,"[['Yeah.  /', 'b'], ['[ Did you, + did you ] think that [ C N N, + {D well, } the Gulf War coverage ] would be kind of, {F uh, } an abnormality?  /', 'qy'], ['I just wonde-, I guess.  /', 'h'], ['<noise> I would be curious to know what you thought as to how {D like } {D say } C N N T V news compared to the three networks.  /', 'qw^d'], ['{F Uh, } {D you know } whether you thought it was more of a biased or whatever  /', 'qy^d'], [""{C but } [ I, + I ] guess you wouldn't.  /"", 'sv'], ['You probably, - /', 'sv'], [""if you just watched it during the Gulf War, that probably [ wouldn't + wouldn't ] tell you much. /"", 'sv']]",[],"Yeah.  Did you,  did you  think that  C N N,   well,  the Gulf War coverage  would be kind of,  uh,  an abnormality? I just wonde, I guess. noise I would be curious to know what you thought as to how  like   say  C N N T V news compared to the three networks.  Uh,   you know  whether you thought it was more of a biased or whatever  but   I,  I  guess you wouldnt. You probably,  if you just watched it during the Gulf War, that probably  wouldnt  wouldnt  tell you much. "
4104-10,,So you can afford to get a house? /,1508,4104-9,4104-0,"[['So you can afford to get a house? /', 'qy^d']]",[],So you can afford to get a house? 
4168-15,,# {F Oh } you don't # <laughter> like country? /,1599,4168-14,4168-0,"[[""# {F Oh } you don't # <laughter> like country? /"", 'qy^d']]",[],  Oh  you dont   like country? 
4168-55,,"Some of them are just really rough.  /[ {D So, } + {D so } ] you went to school then in, - /I'm surprised you didn't go [ to, + to ] any [ pa-, + parties ] or anything where they were playing a lot of music or stuff  /{C or, } -/",1599,4168-54,4168-0,"[['Some of them are just really rough.  /', 'sv'], ['[ {D So, } + {D so } ] you went to school then in, - /', 'qy^d'], [""I'm surprised you didn't go [ to, + to ] any [ pa-, + parties ] or anything where they were playing a lot of music or stuff  /"", 'sv'], ['{C or, } -/', '%']]",[],"Some of them are just really rough.   So,    so   you went to school then in,  Im surprised you didnt go  to,  to  any  pa,  parties  or anything where they were playing a lot of music or stuff  or,  "
4341-40,,"Uh-huh,  /{F huh. } Do you think they should be punished at all, or, {F uh, } <throat_clearing> {D like } go to prison, {F uh, }  /{C because } they're not really a danger to society.  /It was almost really self defense, isn't it, in a case like that. /",1614,4341-39,4341-0,"[['Uh-huh,  /', 'b'], ['{F huh. } Do you think they should be punished at all, or, {F uh, } <throat_clearing> {D like } go to prison, {F uh, }  /', 'qr'], [""{C because } they're not really a danger to society.  /"", 'sv'], [""It was almost really self defense, isn't it, in a case like that. /"", 'qy^d']]",[],"Uhhuh,  huh.  Do you think they should be punished at all, or,  uh,    like  go to prison,  uh,   because  theyre not really a danger to society. It was almost really self defense, isnt it, in a case like that. "
4611-40,,"{F Oh, } # you don't? # /",1573,4611-39,4611-0,"[[""{F Oh, } # you don't? # /"", 'qy^d']]",[]," Oh,   you dont?  "
4048-7,,"# {F Oh, } they do with alcohol. # /",1471,4048-6,4048-0,"[['# {F Oh, } they do with alcohol. # /', 'qy^d']]",[],"  Oh,  they do with alcohol.  "
4048-19,,"Okay,  /{C and } you work in the office around. /",1471,4048-18,4048-0,"[['Okay,  /', 'bk'], ['{C and } you work in the office around. /', 'qy^d']]",[],"Okay,  and  you work in the office around. "
4148-2,,"Yeah,  /{D actually, } [ I, + I ] agree that <laughter> that's an interesting thing.  /[ I, + I ] believe [ that's a, + ] [ for, + for ] civil suits it's not unanimous, {D right, }  /{C but } [ for, + for ] criminal suits it's unanimous by federal law? /",1573,4148-1,4148-0,"[['Yeah,  /', 'aa'], [""{D actually, } [ I, + I ] agree that <laughter> that's an interesting thing.  /"", 'sd'], [""[ I, + I ] believe [ that's a, + ] [ for, + for ] civil suits it's not unanimous, {D right, }  /"", 'qy^g'], [""{C but } [ for, + for ] criminal suits it's unanimous by federal law? /"", 'qy^d']]",[],"Yeah,  actually,   I,  I  agree that  thats an interesting thing.  I,  I  believe  thats a,    for,  for  civil suits its not unanimous,  right,   but   for,  for  criminal suits its unanimous by federal law? "
4316-45,,{C So } she didn't feel safe. /,1592,4316-44,4316-0,"[[""{C So } she didn't feel safe. /"", 'qy^d']]",[], So  she didnt feel safe. 
4339-0,,"Yeah,  /Jonathan, {F uh, } [ you s-, + you say ] it's near and dear to your heart.  /Buying a car is, {F uh, } something you're contemplating, I take it. /",1558,,4339-0,"[['Yeah,  /', 'o'], [""Jonathan, {F uh, } [ you s-, + you say ] it's near and dear to your heart.  /"", 'sd'], [""Buying a car is, {F uh, } something you're contemplating, I take it. /"", 'qy^d']]",[],"Yeah, Jonathan,  uh,   you s,  you say  its near and dear to your heart. Buying a car is,  uh,  something youre contemplating, I take it. "
4340-2,,Such as New York City <laughter>? /,1604,4340-1,4340-0,"[['Such as New York City <laughter>? /', 'qy^d']]",[],Such as New York City ? 
4353-32,,"Yeah,  /{C so } that's sort of related to her field # a little bit. # /",1638,4353-31,4353-0,"[['Yeah,  /', 'b'], [""{C so } that's sort of related to her field # a little bit. # /"", 'qy^d']]",[],"Yeah,  so  thats sort of related to her field  a little bit.  "
4378-7,,# {D So } # you're remodeling? /,1580,4378-6,4378-0,"[[""# {D So } # you're remodeling? /"", 'qy^d']]",[],  So   youre remodeling? 
4378-61,,Where you live it gets very hot? /,1580,4378-60,4378-0,"[['Where you live it gets very hot? /', 'qy^d']]",[],Where you live it gets very hot? 
4378-75,,"{F Oh, } these - /{C so } you have the sash windows in? /",1580,4378-74,4378-0,"[['{F Oh, } these - /', 'bf'], ['{C so } you have the sash windows in? /', 'qy^d']]",[]," Oh,  these   so  you have the sash windows in? "
2184-70,,The executives? /,1091,2184-69,2184-0,"[['The executives? /', 'qy^d']]",[],The executives? 
2184-124,,{C But } they weren't? /,1091,2184-123,2184-0,"[[""{C But } they weren't? /"", 'qy^d']]",[], But  they werent? 
2789-103,,"you have {D like } bands,  /I don't know,",1090,2789-102,2789-0,"[['you have {D like } bands,  /', 'sd'], [""I don't know,"", 'qy^d']]",[],"you have  like  bands, I dont know,"
2789-120,,"{F Oh, } okay,  /<laughter>, [ not in the, + not in the, ]",1045,2789-119,2789-0,"[['{F Oh, } okay,  /', 'bk'], ['<laughter>, [ not in the, + not in the, ]', 'qy^d']]",[]," Oh,  okay, laughter,  not in the,  not in the, "
3506-30,,"{C And then, } ] {F uh, } {F uh, } dessert.  /Something sweet? /",1454,3506-29,3506-0,"[['{C And then, } ] {F uh, } {F uh, } dessert.  /', '+'], ['Something sweet? /', 'qy^d']]",[]," And then,    uh,   uh,  dessert. Something sweet? "
3506-32,,You must like chocolate. /,1454,3506-31,3506-0,"[['You must like chocolate. /', 'qy^d']]",[],You must like chocolate. 
3506-35,,"{F Oh, } you do? /",1405,3506-34,3506-0,"[['{F Oh, } you do? /', 'qy^d']]",[]," Oh,  you do? "
3506-53,,"I just really started, ] {F uh, } {F uh, } learning about that  /{C and } I bought a Martha Stewart,  /I don't know if you've heard of her.  /",1405,3506-52,3506-0,"[['I just really started, ] {F uh, } {F uh, } learning about that  /', '+'], ['{C and } I bought a Martha Stewart,  /', 'sd'], [""I don't know if you've heard of her.  /"", 'qy^d']]",[],"I just really started,   uh,   uh,  learning about that  and  I bought a Martha Stewart, I dont know if youve heard of her. "
3506-68,,"{F Um, } {C and } he's not interested in letting his twenty-one year old daughter experiment with it probably. /",1454,3506-67,3506-0,"[[""{F Um, } {C and } he's not interested in letting his twenty-one year old daughter experiment with it probably. /"", 'qy^d']]",[]," Um,   and  hes not interested in letting his twentyone year old daughter experiment with it probably. "
4038-65,,"{F Uh, } it was too circumstantial? /",1539,4038-64,4038-0,"[['{F Uh, } it was too circumstantial? /', 'qy^d']]",[]," Uh,  it was too circumstantial? "
4349-1,,Just to pack the bearings? /,1561,4349-0,4349-0,"[['Just to pack the bearings? /', 'qy^d']]",[],Just to pack the bearings? 
4349-5,,# Right. #  /{C And } they repacked the wheel bearings. /,1561,4349-4,4349-0,"[['# Right. #  /', 'b'], ['{C And } they repacked the wheel bearings. /', 'qy^d']]",[], Right.   And  they repacked the wheel bearings. 
4349-26,,You're talking about the vibration dampener? /,1611,4349-25,4349-0,"[[""You're talking about the vibration dampener? /"", 'qy^d']]",[],Youre talking about the vibration dampener? 
3075-12,,"Your family doesn't live close, then? /",1266,3075-11,3075-0,"[[""Your family doesn't live close, then? /"", 'qy^d']]",[],"Your family doesnt live close, then? "
3144-49,,"{D Well, } [ I don't, + I don't ] know if you got to see WEEKEND, {F um, } AT BERNIE'S --",1313,3144-48,3144-0,"[[""{D Well, } [ I don't, + I don't ] know if you got to see WEEKEND, {F um, } AT BERNIE'S --"", 'qy^d']]",[]," Well,   I dont,  I dont  know if you got to see WEEKEND,  um,  AT BERNIES "
3435-10,,Yeah.  /We've got tons up here  /{C but } I don't know.  /How do you feel about your game?  /I guess that's a good question? /,1421,3435-9,3435-0,"[['Yeah.  /', 'b'], [""We've got tons up here  /"", 'sd'], [""{C but } I don't know.  /"", 'h'], ['How do you feel about your game?  /', 'qw'], [""I guess that's a good question? /"", 'qy^d']]",[],Yeah. Weve got tons up here  but  I dont know. How do you feel about your game? I guess thats a good question? 
3435-56,,That's pretty good.  /For eighteen? /,1421,3435-55,3435-0,"[[""That's pretty good.  /"", 'ba'], ['For eighteen? /', 'qy^d']]",[],Thats pretty good. For eighteen? 
3658-21,,Through your company? /,1383,3658-20,3658-0,"[['Through your company? /', 'qy^d']]",[],Through your company? 
3876-39,,"It makes it worthwhile to take it back  /{C and } I've just started drinking a new water called Clearly Canadian,  /I don't know if you've tried it -- /",1469,3876-38,3876-0,"[['It makes it worthwhile to take it back  /', 'sv'], [""{C and } I've just started drinking a new water called Clearly Canadian,  /"", 'sd'], [""I don't know if you've tried it -- /"", 'qy^d']]",[],"It makes it worthwhile to take it back  and  Ive just started drinking a new water called Clearly Canadian, I dont know if youve tried it  "
4049-3,,"Yeah,  /{F uh, } I guess I basically agree that, {F uh, } - /do you think it's okay for a company to reject somebody knowing that they'll take drugs?  /{E I mean } suppose # they found out some other way? # /",1530,4049-2,4049-0,"[['Yeah,  /', 'aa'], ['{F uh, } I guess I basically agree that, {F uh, } - /', 'sv'], [""do you think it's okay for a company to reject somebody knowing that they'll take drugs?  /"", 'qy'], ['{E I mean } suppose # they found out some other way? # /', 'qy^d']]",[],"Yeah,  uh,  I guess I basically agree that,  uh,   do you think its okay for a company to reject somebody knowing that theyll take drugs?  I mean  suppose  they found out some other way?  "
4127-83,,You do too? /,1573,4127-82,4127-0,"[['You do too? /', 'qy^d']]",[],You do too? 
4153-69,,"# [ {C And } + {D you know } {C so } ] [ [ they, + # {D you know, } they used, ] + {F uh, } {F oh, } I think they used ] the, - /you probably heard [ where, + {D you know, } where ] you stand in front of the clock and get your power back to control yourself. /",1602,4153-68,4153-0,"[['# [ {C And } + {D you know } {C so } ] [ [ they, + # {D you know, } they used, ] + {F uh, } {F oh, } I think they used ] the, - /', 'sd'], ['you probably heard [ where, + {D you know, } where ] you stand in front of the clock and get your power back to control yourself. /', 'qy^d']]",[],"   And    you know   so     they,    you know,  they used,    uh,   oh,  I think they used  the,  you probably heard  where,   you know,  where  you stand in front of the clock and get your power back to control yourself. "
4181-11,,"Which is probably pretty nice,  /{C but } I'll bet that means your state sales tax is pretty high. /",1577,4181-10,4181-0,"[['Which is probably pretty nice,  /', 'sv'], [""{C but } I'll bet that means your state sales tax is pretty high. /"", 'qy^d']]",[],"Which is probably pretty nice,  but  Ill bet that means your state sales tax is pretty high. "
4318-28,,"{F Oh, } like a Miata or something like that? /",1530,4318-27,4318-0,"[['{F Oh, } like a Miata or something like that? /', 'qy^d']]",[]," Oh,  like a Miata or something like that? "
4380-14,,"Yeah.  /[ ((It was [ a, + a, ] + it's a)) ] more or less a suburban school system? /",1537,4380-13,4380-0,"[['Yeah.  /', 'b^r'], [""[ ((It was [ a, + a, ] + it's a)) ] more or less a suburban school system? /"", 'qy^d']]",[],"Yeah.  It was  a,  a,   its a  more or less a suburban school system? "
4830-51,,"<Inhaling> We just have the case,  /[ I'm, + I'm ] sure you've probably heard of Marion Berry. /",1042,4830-50,4830-0,"[['<Inhaling> We just have the case,  /', 'sd'], [""[ I'm, + I'm ] sure you've probably heard of Marion Berry. /"", 'qy^d']]",[]," We just have the case,  Im,  Im  sure youve probably heard of Marion Berry. "
2395-71,,"-- [ It-, + ] with the children's aspect? /",1055,2395-70,2395-0,"[[""-- [ It-, + ] with the children's aspect? /"", 'qy^d']]",[],"  It,   with the childrens aspect? "
2395-97,,"{F Um, } I've got one question for you.  /[ I + <<pause>> you ] say you take the newspaper. /",1055,2395-96,2395-0,"[[""{F Um, } I've got one question for you.  /"", 'sd'], ['[ I + <<pause>> you ] say you take the newspaper. /', 'qy^d']]",[]," Um,  Ive got one question for you.  I   you  say you take the newspaper. "
2546-54,,"<Breathing> {D Well, } that's about five minutes,  /{C so } --",1025,2546-53,2546-0,"[[""<Breathing> {D Well, } that's about five minutes,  /"", 'sd'], ['{C so } --', 'qy^d']]",[],"  Well,  thats about five minutes,  so  "
2775-94,,One child.  /{C And } they enjoy where they're living? /,1122,2775-93,2775-0,"[['One child.  /', 'b^m'], [""{C And } they enjoy where they're living? /"", 'qy^d']]",[],One child.  And  they enjoy where theyre living? 
2775-106,,"Yeah.  /So you're just the opposite from me.  /You want to go back to that, {F uh, } /",1122,2775-105,2775-0,"[['Yeah.  /', 'b'], [""So you're just the opposite from me.  /"", 'sv'], ['You want to go back to that, {F uh, } /', 'qy^d']]",[],"Yeah. So youre just the opposite from me. You want to go back to that,  uh,  "
3073-87,,"It's just a half hour,  /{C or } is it hour? /",1285,3073-86,3073-0,"[[""It's just a half hour,  /"", 'qy^d'], ['{C or } is it hour? /', 'qrr']]",[],"Its just a half hour,  or  is it hour? "
3086-9,,Loaners from work? /,1235,3086-8,3086-0,"[['Loaners from work? /', 'qy^d']]",[],Loaners from work? 
3086-39,,At home --,1235,3086-38,3086-0,"[['At home --', 'qy^d']]",[],At home 
3086-43,,"{F Uh, } {C and so } it's an external modem. /",1235,3086-42,3086-0,"[[""{F Uh, } {C and so } it's an external modem. /"", 'qy^d']]",[]," Uh,   and so  its an external modem. "
3086-63,,{D So } you've got a lot of traffic noise real close. /,1235,3086-62,3086-0,"[[""{D So } you've got a lot of traffic noise real close. /"", 'qy^d']]",[], So  youve got a lot of traffic noise real close. 
3135-78,,Uh-huh.  /# {C So } you were able to have somebody come there. # /,1327,3135-77,3135-0,"[['Uh-huh.  /', 'b'], ['# {C So } you were able to have somebody come there. # /', 'qy^d']]",[],Uhhuh.   So  you were able to have somebody come there.  
3154-68,,"That's nice.  /I guess they dump it the same place,  /I wonder where they dump that. /",1288,3154-67,3154-0,"[[""That's nice.  /"", 'ba'], ['I guess they dump it the same place,  /', 'sd'], ['I wonder where they dump that. /', 'qy^d']]",[],"Thats nice. I guess they dump it the same place, I wonder where they dump that. "
3315-11,,"{F Uh, } television shows? /",1307,3315-10,3315-0,"[['{F Uh, } television shows? /', 'qy^d']]",[]," Uh,  television shows? "
3445-34,,Oh.  /In New Hampshire.  /# All right. # /,1429,3445-33,3445-0,"[['Oh.  /', 'b'], ['In New Hampshire.  /', 'qy^d'], ['# All right. # /', 'bk']]",[],Oh. In New Hampshire.  All right.  
3830-97,,"They were paid that whole time  /{C and } I don't know, if you're aware of this r-, -/",1476,3830-96,3830-0,"[['They were paid that whole time  /', 'sd'], [""{C and } I don't know, if you're aware of this r-, -/"", 'qy^d']]",[],"They were paid that whole time  and  I dont know, if youre aware of this r, "
3925-1,,"Okay.  /You're asking what my opinion about,",1493,3925-0,3925-0,"[['Okay.  /', 'b'], [""You're asking what my opinion about,"", 'qy^d']]",[],"Okay. Youre asking what my opinion about,"
3925-43,,<Laughter>  {D So } you're taking a government course? /,1493,3925-42,3925-0,"[[""<Laughter>  {D So } you're taking a government course? /"", 'qy^d']]",[],  So  youre taking a government course? 
3925-45,,At what?  /The university? /,1493,3925-44,3925-0,"[['At what?  /', 'qw'], ['The university? /', 'qy^d']]",[],At what? The university? 
4033-64,,"{D Well, } I guess we'll get pretty good news coverage  in a couple of years when you host the, {F uh, } summer olympics <laughter>. /",1537,4033-63,4033-0,"[[""{D Well, } I guess we'll get pretty good news coverage  in a couple of years when you host the, {F uh, } summer olympics <laughter>. /"", 'qy^d']]",[]," Well,  I guess well get pretty good news coverage in a couple of years when you host the,  uh,  summer olympics . "
4074-33,,"{D So } [ [ that, + is that, ] + is that ] kind of your  child right now? /",1516,4074-32,4074-0,"[['{D So } [ [ that, + is that, ] + is that ] kind of your  child right now? /', 'qy^d']]",[]," So    that,  is that,   is that  kind of your child right now? "
4101-3,,"[ The, + the ] deposits only on {D like } drink stuff. /",1552,4101-2,4101-0,"[['[ The, + the ] deposits only on {D like } drink stuff. /', 'qy^d']]",[]," The,  the  deposits only on  like  drink stuff. "
4101-11,,"{D So, } did they, - /[ you're giving, + are you giving ] these products to the handicapped group  /{C and } the handicapped group is getting the {F uh, } the money  /[ [ {C or } + {C or } are you, ] + {C or }  are [ they + some home ] ] distributing the funds back to you. /",1552,4101-10,4101-0,"[['{D So, } did they, - /', 'qy'], [""[ you're giving, + are you giving ] these products to the handicapped group  /"", 'qy'], ['{C and } the handicapped group is getting the {F uh, } the money  /', 'qy^d'], ['[ [ {C or } + {C or } are you, ] + {C or }  are [ they + some home ] ] distributing the funds back to you. /', 'qrr']]",[]," So,  did they,   youre giving,  are you giving  these products to the handicapped group  and  the handicapped group is getting the  uh,  the money    or    or  are you,    or  are  they  some home   distributing the funds back to you. "
4137-9,,"It terms of handling, {F uh, } acceleration, -/",1585,4137-8,4137-0,"[['It terms of handling, {F uh, } acceleration, -/', 'qy^d']]",[],"It terms of handling,  uh,  acceleration, "
4137-25,,"Okay.  /{C And } you [ put up, + set up ] the --",1585,4137-24,4137-0,"[['Okay.  /', 'bk'], ['{C And } you [ put up, + set up ] the --', 'qy^d']]",[],"Okay.  And  you  put up,  set up  the "
4150-9,,Anyway.  /You don't have children? /,1516,4150-8,4150-0,"[['Anyway.  /', 'h'], [""You don't have children? /"", 'qy^d']]",[],Anyway. You dont have children? 
4150-11,,{C But } you're married? /,1516,4150-10,4150-0,"[[""{C But } you're married? /"", 'qy^d']]",[], But  youre married? 
4150-101,,You're still trying to dry out? /,1516,4150-100,4150-0,"[[""You're still trying to dry out? /"", 'qy^d']]",[],Youre still trying to dry out? 
4175-93,,They treat it with chemicals or something?  /Why can't trees break down?  /I don't get it. /,1580,4175-92,4175-0,"[['They treat it with chemicals or something?  /', 'qy^d'], [""Why can't trees break down?  /"", 'qw'], [""I don't get it. /"", 'sd']]",[],They treat it with chemicals or something? Why cant trees break down? I dont get it. 
4342-8,,"Cliff, I see,  /{D so, } {F uh, } it's not affiliated with anything, is it.  /[ Not -- +",1390,4342-7,4342-0,"[['Cliff, I see,  /', 'b^m'], [""{D so, } {F uh, } it's not affiliated with anything, is it.  /"", 'qy^g'], ['[ Not -- +', 'qy^d']]",[],"Cliff, I see,  so,   uh,  its not affiliated with anything, is it.  Not  "
4342-16,,"Yeah,  /{C so } you have a paper or something or, -/",1390,4342-15,4342-0,"[['Yeah,  /', 'b'], ['{C so } you have a paper or something or, -/', 'qy^d']]",[],"Yeah,  so  you have a paper or something or, "
4342-47,,{C So } there really is only one major L A now? /,1524,4342-46,4342-0,"[['{C So } there really is only one major L A now? /', 'qy^d']]",[], So  there really is only one major L A now? 
4880-12,,{C So } it's the government that's mandating  it to a certain extent?  <noise>. /,1188,4880-11,4880-0,"[[""{C So } it's the government that's mandating  it to a certain extent?  <noise>. /"", 'qy^d']]",[], So  its the government thats mandating it to a certain extent? . 
4880-36,,"Okay,  /{C so } [ that -- +",1188,4880-35,4880-0,"[['Okay,  /', 'bk'], ['{C so } [ that -- +', 'qy^d']]",[],"Okay,  so   that  "
2061-21,,"Yeah,  /twenty-one <<sounds like he is talking  to someone other than speaker>>.  /Yeah.  /Shoot man, it's, what, midnight almost? /",1167,2061-20,2061-0,"[['Yeah,  /', 'aa'], ['twenty-one <<sounds like he is talking  to someone other than speaker>>.  /', 't3'], ['Yeah.  /', '%'], [""Shoot man, it's, what, midnight almost? /"", 'qy^d']]",[],"Yeah, twentyone sounds like he is talking to someone other than speaker. Yeah. Shoot man, its, what, midnight almost? "
2061-38,,Like Chapel Hill? /,1021,2061-37,2061-0,"[['Like Chapel Hill? /', 'qy^d']]",[],Like Chapel Hill? 
2061-229,,Like the  ((   ))  deal? /,1167,2061-228,2061-0,"[['Like the  ((   ))  deal? /', 'qy^d']]",[],Like the   deal? 
2061-231,,# Like a hologram? # /,1167,2061-230,2061-0,"[['# Like a hologram? # /', 'qy^d']]",[], Like a hologram?  
2107-0,,You said you have four cats? /,1135,,2107-0,"[['You said you have four cats? /', 'qy^d']]",[],You said you have four cats? 
2370-38,,Uh-huh.  /{C So } you figure one of these days you're going to go back to being an engineer?  /Is that what you're saying? /,1138,2370-37,2370-0,"[['Uh-huh.  /', 'b'], [""{C So } you figure one of these days you're going to go back to being an engineer?  /"", 'qy^d'], [""Is that what you're saying? /"", 'qy']]",[],Uhhuh.  So  you figure one of these days youre going to go back to being an engineer? Is that what youre saying? 
2406-63,,"Yeah,  /yeah.  /{F Oh, } yeah.  /It's just that, - /yeah,  /it's just that the rating system seems, {D you know, } instead of having X now,  they have what, N C seventeen? /",1103,2406-62,2406-0,"[['Yeah,  /', 'b'], ['yeah.  /', 'b^r'], ['{F Oh, } yeah.  /', 'b^r'], [""It's just that, - /"", '%'], ['yeah,  /', '%'], [""it's just that the rating system seems, {D you know, } instead of having X now,  they have what, N C seventeen? /"", 'qy^d']]",[],"Yeah, yeah.  Oh,  yeah. Its just that,  yeah, its just that the rating system seems,  you know,  instead of having X now, they have what, N C seventeen? "
2406-105,,To understand what's going on in the second? /,1103,2406-104,2406-0,"[[""To understand what's going on in the second? /"", 'qy^d']]",[],To understand whats going on in the second? 
